"","total.num.var.onet","total.num.var.adlas","total.num.var.bort","total.num.var.bory"
"554",33,20,27,26
"555",35,20,28,28
"556",33,19,31,30
"557",32,19,31,27
"558",30,19,26,30
"559",35,19,27,33
"560",26,19,29,29
"561",33,20,30,28
"562",29,18,29,23
"563",33,21,27,32
"564",34,20,26,31
"565",36,21,29,24
"566",29,20,30,25
"567",34,21,26,30
"568",30,20,30,28
"569",34,17,29,30
"570",30,19,30,29
"571",31,18,28,23
"572",32,19,29,29
"573",31,20,28,29
"574",30,20,25,30
"575",29,22,26,31
"576",30,19,26,28
"577",33,19,28,30
"578",36,19,32,30
"579",34,19,30,29
"580",29,20,26,29
"581",31,20,28,32
"582",31,19,24,32
"583",31,32,27,29
"584",31,20,27,25
"585",31,19,26,28
"586",32,19,28,30
"587",30,20,28,30
"588",26,21,29,32
"589",30,21,27,33
"590",33,21,28,26
"591",31,19,27,32
"592",34,20,30,27
"593",29,19,29,26
"594",37,20,27,27
"595",29,20,27,26
"596",28,20,27,32
"597",29,19,30,28
"598",30,19,28,25
"599",35,19,28,31
"600",32,20,28,31
"601",31,20,31,31
"602",32,20,29,27
"603",30,19,28,26
"604",33,19,28,29
"605",30,20,31,31
"606",38,19,30,26
"607",30,20,26,32
"608",31,20,29,30
"609",29,20,29,28
"610",34,20,28,30
"611",31,19,31,28
"612",32,19,30,29
"613",32,19,27,29
"614",28,19,25,29
"615",33,28,28,27
"616",35,19,28,33
"617",29,19,28,31
"618",31,19,29,31
"619",32,21,28,29
"620",30,21,27,29
"621",37,20,29,27
"622",32,20,28,28
"623",29,20,28,29
"624",31,19,25,28
"625",32,18,28,29
"626",34,21,29,27
"627",26,20,29,29
"628",30,19,26,25
"629",33,19,28,29
"630",32,19,27,27
"631",27,20,27,32
"632",32,20,29,29
"633",32,19,29,26
"634",34,21,29,32
"635",32,20,27,34
"636",35,19,27,29
"637",30,19,28,35
"638",31,19,33,31
"639",31,20,27,24
"640",34,17,29,32
"641",34,20,29,27
"642",35,20,27,30
"643",36,21,32,26
"644",32,19,28,27
"645",28,20,28,30
"646",30,17,27,27
"647",32,19,27,28
"648",34,19,28,28
"649",31,18,28,29
"650",29,20,29,32
"651",31,19,28,29
"652",30,20,30,31
"653",33,18,30,24
"654",29,18,30,26
"655",27,21,31,28
"656",30,20,27,29
"657",33,19,30,23
"658",32,27,28,30
"659",32,20,28,26
"660",37,19,27,29
"661",35,18,30,27
"662",29,20,26,30
"663",30,19,26,30
"664",29,19,27,27
"665",32,19,28,29
"666",29,20,30,32
"667",34,20,30,31
"668",31,19,29,27
"669",31,20,27,30
"670",32,18,27,29
"671",32,19,26,28
"672",27,20,28,29
"673",30,19,27,29
"674",32,19,28,29
"675",34,20,31,28
"676",28,20,27,28
"677",31,19,28,28
"678",32,19,27,31
"679",30,20,29,31
"680",29,19,27,27
"681",32,21,28,28
"682",34,19,27,29
"683",31,20,29,25
"684",33,18,29,28
"685",31,21,30,30
"686",35,20,27,26
"687",31,19,28,29
"688",31,20,27,25
"689",38,19,28,33
"690",37,20,28,29
"691",32,19,27,29
"692",29,27,29,26
"693",30,28,25,28
"694",32,20,28,28
"695",31,17,26,27
"696",32,20,26,29
